City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
315,Sai Buri,TH,78.21,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
316,Hithadhoo,MV,82.18,overcast clouds,-0.6,73.0833,Scoop Guest House
320,Bowen,AU,78.73,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
327,Mahon,ES,72.16,clear sky,39.8885,4.2658,ARTIEM Capri
332,Mitsamiouli,KM,79.41,clear sky,-11.3847,43.2844,Foyer ADM
336,Vila Velha,BR,73.35,mist,-20.3297,-40.2925,Quality Suites Vila Velha
337,Santa Isabel,BR,72.66,light rain,-23.3156,-46.2214,Chácara Sombra do Altíssimo
338,Sao Jose Da Coroa Grande,BR,83.12,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
339,Anloga,GH,82.94,light rain,5.7947,0.8973,Pin Drop Hotel
342,Bacungan,PH,79.45,broken clouds,9.9106,118.7022,Sumayang Property
343,Saint-Joseph,RE,73.78,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
345,Honiara,SB,77.81,broken clouds,-9.4333,159.95,Heritage Park Hotel
347,Beboto,TD,84.92,broken clouds,8.2668,16.939,
350,Puerto Del Rosario,ES,73.15,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
351,Danielskuil,ZA,79.43,clear sky,-28.1887,23.5395,Botha'Sig Gastehuis
352,Port-Gentil,GA,80.56,light rain,-0.7193,8.7815,Fengshui Residence
353,Mana,GF,82.04,overcast clouds,5.6592,-53.7767,LE SAMANA
355,Kerouane,GN,84.43,scattered clouds,9.2667,-9.0167,
357,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
361,Cidreira,BR,72.28,scattered clouds,-30.1811,-50.2056,Hotel Castelo
364,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,El Medina
366,Bengkulu,ID,77.74,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
369,Sur,OM,82.54,clear sky,22.5667,59.5289,Sur Plaza Hotel
373,Praia Grande,BR,79.23,overcast clouds,-24.0058,-46.4028,Praia Canto do Forte Guest House
375,Marsa Matruh,EG,76.19,broken clouds,31.3525,27.2453,Beau Site
380,Maumere,ID,80.73,broken clouds,-8.6199,122.2111,Sylvia Hotel
381,Johi,PK,83.97,clear sky,26.6921,67.6133,Haji Fareed/ Abdul Qyoum Rodnani OTAQUE
382,Ribas Do Rio Pardo,BR,81.14,overcast clouds,-20.4431,-53.7592,Pousada Avenida
386,Kailua,US,71.74,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
389,Hualmay,PE,70.34,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
391,Kahului,US,70.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
393,Requena,ES,72.5,overcast clouds,39.4883,-1.1004,Hotel Avenida
394,Ndele,CF,81.57,overcast clouds,8.4109,20.6473,
401,Lingao,CN,74.57,broken clouds,19.9103,109.6859,Lingao Ditai Inn
405,Nabire,ID,75.22,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
